competitor_id,name,country,country_code,abbreviation
sr:competitor:47295,"Andreozzi, Guido",Argentina,ARG,AND
sr:competitor:49306,"Reyes-Varela, Miguel",Mexico,MEX,REY
sr:competitor:81763,"Jacq, Gregoire",France,FRA,JAC
sr:competitor:111195,"Luz, Orlando",Brazil,BRA,LUZ
sr:competitor:127646,"Cabral, Francisco",Portugal,PRT,CAB
sr:competitor:25457,"Nedovyesov, Aleksandr",Kazakhstan,KAZ,NED
sr:competitor:16198,"Escobar, Gonzalo",Ecuador,ECU,ESC
sr:competitor:16042,"Haase, Robin",Netherlands,NLD,HAA
sr:competitor:52244,"Balaji, N. Sriram",India,IND,BAL
sr:competitor:231090,"Arribage, Theo",France,FRA,ARR
sr:competitor:300540,"Machac, Tomas",Czechia,CZE,MAC
sr:competitor:203681,"Korda, Sebastian",USA,USA,KOR
sr:competitor:104421,"Mies, Andreas",Germany,DEU,MIE
sr:competitor:121182,"Guinard, Manuel",France,FRA,GUI
sr:competitor:75813,"Zhang, Zhizhen",China,CHN,ZHA
sr:competitor:41475,"Arneodo, Romain",Monaco,MCO,ARN
sr:competitor:17038,"Smith, John-Patrick",Australia,AUS,SMI
sr:competitor:152900,"Rikl, Patrik",Czechia,CZE,RIK
sr:competitor:918463,"Bollipalli, Rithvik Choudary",India,IND,BOL
sr:competitor:16043,"Middelkoop, Matwe",Netherlands,NLD,MID
sr:competitor:52065,"Harrison, Christian",USA,USA,HAR
sr:competitor:23899,"King, Evan",USA,USA,KIN
sr:competitor:204781,"Nouza, Petr",Czechia,CZE,NOU
sr:competitor:112969,"Schnaitter, Jakob",Germany,DEU,SCH
sr:competitor:936355,"Wallner, Mark",Germany,DEU,WAL
sr:competitor:287215,"Seggerman, Ryan",USA,USA,SEG
sr:competitor:76361,"Kadhe, Arjun",India,IND,KAD
sr:competitor:223868,"Matuszewski, Piotr",Poland,POL,MAT
sr:competitor:52263,"Hidalgo, Diego",Ecuador,ECU,HID
sr:competitor:63438,"McDonald, Mackenzie",USA,USA,MCD
sr:competitor:147104,"Romios, Matthew Christopher",Australia,AUS,ROM
sr:competitor:77653,"Cornea, Victor",Romania,ROU,COR
sr:competitor:57163,"Zverev, Alexander",Germany,DEU,ZVE
sr:competitor:122368,"Griekspoor, Tallon",Netherlands,NLD,GRI
sr:competitor:871495,"Michelsen, Alex",USA,USA,MIC
sr:competitor:197678,"Tsitsipas, Petros",Greece,GRC,TSI
sr:competitor:234124,"Stevens, Bart",Netherlands,NLD,STE
sr:competitor:73572,"Zormann, Marcelo",Brazil,BRA,ZOR
sr:competitor:16823,"Romboli, Fernando",Brazil,BRA,ROM
sr:competitor:16492,"Eysseric, Jonathan",France,FRA,EYS
sr:competitor:1020797,"Trhac, Patrik",USA,USA,TRH
sr:competitor:16992,"Willis, Marcus",Great Britain,GBR,WIL
sr:competitor:808628,"Shelton, Ben",USA,USA,SHE
sr:competitor:299130,"Hijikata, Rinky",Australia,AUS,HIJ
sr:competitor:121032,"Stalder, Reese",USA,USA,STA
sr:competitor:60920,"Nedunchezhiyan, Jeevan",India,IND,NED
sr:competitor:98413,"Drzewiecki, Karol",Poland,POL,DRZ
sr:competitor:102339,"Van de Zandschulp, Botic",Netherlands,NLD,VAN
sr:competitor:113221,"Niklas-Salminen, Patrik",Finland,FIN,NIK
sr:competitor:102151,"Tabilo, Alejandro",Chile,CHL,TAB
sr:competitor:50037,"Bortolotti, Marco",Italy,ITA,BOR
sr:competitor:16854,"Molchanov, Denys",Ukraine,UKR,MOL
sr:competitor:838776,"Tracy, James",USA,USA,TRA
sr:competitor:157396,"Veldheer, Mick",Netherlands,NLD,VEL
sr:competitor:35766,"Begemann, Andre",Germany,DEU,BEG
sr:competitor:263917,"Draxl, Liam",Canada,CAN,DRA
sr:competitor:16573,"Demoliner, Marcelo",Brazil,BRA,DEM
sr:competitor:119150,"Fancutt, Thomas",Australia,AUS,FAN
sr:competitor:163480,"Bublik, Alexander",Kazakhstan,KAZ,BUB
sr:competitor:77011,"Martos Gornes, Sergio",Spain,ESP,MAR
sr:competitor:145936,"Kaliyanda Poonacha, Niki",India,IND,KAL
sr:competitor:39712,"Saville, Luke",Australia,AUS,SAV
sr:competitor:52951,"Pel, David",Netherlands,NLD,PEL
sr:competitor:37637,"Zeballos, Federico",Bolivia,BOL,ZEB
sr:competitor:54609,"Arias, Boris",Bolivia,BOL,ARI
sr:competitor:53759,"Prashanth, N. Vijay Sundar",India,IND,PRA
sr:competitor:305776,"Soto, Matias",Chile,CHL,SOT
sr:competitor:243522,"Paul, Jakub",Switzerland,CHE,PAU
sr:competitor:393598,"Cash, Robert",USA,USA,CAS
sr:competitor:42151,"Nam, Ji Sung",Republic of Korea,KOR,NAM
sr:competitor:90080,"Khachanov, Karen",Neutral,NULL,KHA
sr:competitor:256001,"Ho, Ray",Chinese Taipei,TPE,RAY
sr:competitor:209202,"Chandrasekar, Anirudh",India,IND,CHA
sr:competitor:69910,"Bergevi, Filip",Sweden,SWE,BER
sr:competitor:450383,"Harper, Cleeve",Canada,CAN,HAR
sr:competitor:46391,"Struff, Jan-Lennard",Germany,DEU,STR
sr:competitor:296270,"Stevenson, David",Great Britain,GBR,STE
sr:competitor:405977,"Schoolkate, Tristan",Australia,AUS,SCH
sr:competitor:14508,"Mahut, Nicolas",France,FRA,MAH
sr:competitor:125006,"Borges, Nuno",Portugal,PRT,BOR
sr:competitor:25458,"Martinez, Luis David",Venezuela,VEN,MAR
sr:competitor:234044,"Kirkov, Vasil",USA,USA,KIR
sr:competitor:111607,"Ingildsen, Johannes",Denmark,DNK,ING
sr:competitor:95923,"Paris, Joshua",Great Britain,GBR,PAR
sr:competitor:47760,"Weissborn, Tristan-Samuel",Austria,AUT,WEI
sr:competitor:44637,"Rodriguez, Cristian",Colombia,COL,ROC
sr:competitor:58877,"Ramanathan, Ramkumar",India,IND,RAM
sr:competitor:240880,"Hilderbrand, Trey",USA,USA,HIL
sr:competitor:134610,"Blumberg, William",USA,USA,BLU
sr:competitor:78387,"Hach Verdugo, Hans",Mexico,MEX,HAC
sr:competitor:548169,"Yuzuki, Takeru",Japan,JPN,YUZ
sr:competitor:119140,"Ellis, Blake",Australia,AUS,ELL
sr:competitor:15809,"Martin, Fabrice",France,FRA,MAR
sr:competitor:113889,"Liutarevich, Ivan",Neutral,NULL,LIU
sr:competitor:92845,"Goldhoff, George",USA,USA,GOL
sr:competitor:146040,"Gomez, Federico Agustin",Argentina,ARG,GOM
sr:competitor:124708,"Cukierman, Daniel",Israel,ISR,CUK
sr:competitor:195458,"Added, Dan",France,FRA,ADD
sr:competitor:110707,"Pichler, David",Austria,AUT,PIC
sr:competitor:52260,"Vega, David",Spain,ESP,VEG
sr:competitor:58989,"Sabanov, Matej",Serbia,SRB,SAB
sr:competitor:98981,"Jecan, Alexandru",Romania,ROU,JEC
sr:competitor:216502,"Broom, Charles",Great Britain,GBR,BRO
sr:competitor:96859,"Lock, Benjamin",Zimbabwe,ZWE,LOC
sr:competitor:25021,"Cervantes, Inigo",Spain,ESP,CER
sr:competitor:280601,"Oberleitner, Neil",Austria,AUT,OBE
sr:competitor:145008,"Uesugi, Kaito",Japan,JPN,UES
sr:competitor:122366,"Tsitsipas, Stefanos",Greece,GRC,TSI
sr:competitor:141882,"Blancaneaux, Geoffrey",France,FRA,BLA
sr:competitor:112061,"Walkow, Szymon",Poland,POL,WAL
sr:competitor:297448,"Kiger, Mac",USA,USA,KIG
sr:competitor:297502,"Bayldon, Blake",Australia,AUS,BAY
sr:competitor:136042,"Fritz, Taylor",USA,USA,FRI
sr:competitor:227358,"Walton, Adam",Australia,AUS,WAL
sr:competitor:84671,"Britto, Luis",Brazil,BRA,BRI
sr:competitor:15275,"Matsui, Toshihide",Japan,JPN,MAT
sr:competitor:390480,"Watanabe, Seita",Japan,JPN,WAT
sr:competitor:295508,"Vrbensky, Michael",Czechia,CZE,VRB
sr:competitor:204495,"Vocel, Matej",Czechia,CZE,VOC
sr:competitor:380004,"Harper, Patrick",Australia,AUS,HAR
sr:competitor:342826,"Trotter, James Kent",Japan,JPN,TRO
sr:competitor:250231,"Shimizu, Yuta",Japan,JPN,SHI
sr:competitor:59700,"Isaro, Pruchya",Thailand,THA,ISA
sr:competitor:64920,"Myneni, Saketh",India,IND,MYN
sr:competitor:263865,"Reynolds, Finn",New Zealand,NZL,REY
sr:competitor:77223,"Martinez, Pedro",Spain,ESP,MAR
sr:competitor:628218,"Karol, Milos",Slovakia,SVK,KAR
sr:competitor:55293,"Sabanov, Ivan",Serbia,SRB,SAB
sr:competitor:72420,"Merino, Alexander",Peru,PER,MER
sr:competitor:55745,"Negritu, Christoph",Germany,DEU,NEG
sr:competitor:84301,"Reese, Hunter",USA,USA,REE
sr:competitor:359602,"Musetti, Lorenzo",Italy,ITA,MUS
sr:competitor:49417,"Tu, Li",Australia,AUS,TUL
sr:competitor:50148,"Puttergill, Calum",Australia,AUS,PUT
sr:competitor:671637,"Fils, Arthur",France,FRA,FIL
sr:competitor:534043,"Darderi, Luciano",Italy,ITA,DAR
sr:competitor:82579,"Uchida, Kaichi",Japan,JPN,UCH
sr:competitor:155860,"Lock, Courtney John",Zimbabwe,ZWE,LOC
sr:competitor:99043,"Wang, Aoran",China,CHN,WAN
sr:competitor:126356,"Munar, Jaume",Spain,ESP,MUN
sr:competitor:530317,"Rincon, Daniel",Spain,ESP,RIN
sr:competitor:218344,"Lawson, Alex",USA,USA,LAW
sr:competitor:108767,"Hassan, Benjamin",Lebanon,LBN,HAS
sr:competitor:193930,"Sigouin, Benjamin",Canada,CAN,SIG
sr:competitor:106395,"Ricca, Giorgio",Italy,ITA,RIC
sr:competitor:100069,"Sachko, Vitaliy",Ukraine,UKR,SAC
sr:competitor:206879,"Eubanks, Christopher",USA,USA,EUB
sr:competitor:89632,"Jarry, Nicolas",Chile,CHL,JAR
sr:competitor:257721,"Baez, Sebastian",Argentina,ARG,BAE
sr:competitor:169496,"Etcheverry, Tomas Martin",Argentina,ARG,ETC
sr:competitor:145108,"Bertola, Remy",Switzerland,CHE,BER
sr:competitor:85877,"Villanueva, Gonzalo",Argentina,ARG,VIL
sr:competitor:289021,"Charlton, Joshua",Australia,AUS,CHA
sr:competitor:422955,"Sanchez, Luca",France,FRA,SAN
sr:competitor:396126,"Barnat, Jiri",Czechia,CZE,BAR
sr:competitor:221556,"Alves, Mateus",Brazil,BRA,ALV
sr:competitor:284801,"Boyer, Tristan",USA,USA,BOY
sr:competitor:880089,"Pereira, Tiago",Portugal,PRT,PER
sr:competitor:124930,"Safiullin, Roman",Neutral,NULL,SAF
sr:competitor:96629,"Duncan, Scott",Great Britain,GBR,DUN
sr:competitor:539343,"Kym, Jerome",Switzerland,CHE,KYM
sr:competitor:161448,"Jones, Ben",Great Britain,GBR,JON
sr:competitor:99377,"Kestelboim, Mariano",Argentina,ARG,KES
sr:competitor:392066,"Navone, Mariano",Argentina,ARG,NAV
sr:competitor:43319,"Duran, Guillermo",Argentina,ARG,DUR
sr:competitor:163438,"Sun, Fajing",China,CHN,SUN
sr:competitor:284805,"Nava, Emilio",USA,USA,NAV
sr:competitor:168420,"Andrade, Andres",Ecuador,ECU,AND
sr:competitor:163538,"Donski, Alexander",Bulgaria,BGR,DON
sr:competitor:448357,"Spizzirri, Eliot",USA,USA,SPI
sr:competitor:399637,"Cobolli, Flavio",Italy,ITA,COB
sr:competitor:395828,"Saraiva Dos Santos, Paulo Andre",Brazil,BRA,SAR
sr:competitor:132834,"Barrios Vera, Marcelo Tomas",Chile,CHL,BAR
sr:competitor:428657,"Shelbayh, Abdullah",Jordan,JOR,SHE
sr:competitor:96535,"Virgili, Augusto",Italy,ITA,VIR
sr:competitor:169492,"Aboian, Leonardo",Argentina,ARG,ABO
sr:competitor:496346,"Stricker, Dominic",Switzerland,CHE,STR
sr:competitor:47975,"Hanfmann, Yannick",Germany,DEU,HAN
sr:competitor:233144,"Duda, Filip",Czechia,CZE,DUD
sr:competitor:55787,"Olivo, Renzo",Argentina,ARG,OLI
sr:competitor:49663,"Escoffier, Antoine",France,FRA,ESC
sr:competitor:79223,"Delaney, Jake",Australia,AUS,DEL
sr:competitor:121122,"Freund, Simon",Sweden,SWE,FRE
sr:competitor:53483,"Masur, Daniel",Germany,DEU,MAS
sr:competitor:348308,"Sheehy, Joshua",USA,USA,SHE
sr:competitor:51974,"Daniell, Marcus",New Zealand,NZL,DAN
sr:competitor:106755,"Rublev, Andrey",Neutral,NULL,RUB
sr:competitor:185434,"Rodriguez Taverna, Santiago",Argentina,ARG,ROD
sr:competitor:853643,"Romano, Filippo",Italy,ITA,ROM
sr:competitor:303808,"Nijboer, Ryan",Netherlands,NLD,NIJ
sr:competitor:38180,"Mena, Facundo",Argentina,ARG,MEN
sr:competitor:379924,"Whiting, Tennyson",USA,USA,WHI
sr:competitor:126402,"Denolly, Corentin",France,FRA,DEN
sr:competitor:308834,"Schachter, Noah",USA,USA,SCH
sr:competitor:99587,"Chung, Yun Seong",Republic of Korea,KOR,CHU
sr:competitor:17359,"Oswald, Philipp",Austria,AUT,OSW
sr:competitor:305558,"Roncadelli, Franco",Uruguay,URY,RON
sr:competitor:552469,"Agafonov, Egor",Neutral,NULL,AGA
sr:competitor:352776,"Draper, Jack",Great Britain,GBR,DRA
sr:competitor:129368,"Koepfer, Dominik",Germany,DEU,KOE
sr:competitor:255595,"Cerundolo, Francisco",Argentina,ARG,CER
sr:competitor:310972,"Banthia, Siddhant",India,IND,BAN
sr:competitor:161868,"Huertas Del Pino, Connor",Peru,PER,HUE
sr:competitor:927343,"Cadenasso, Gianluca",Italy,ITA,CAD
sr:competitor:77501,"Wehnelt, Kai",Germany,DEU,WEH
sr:competitor:120956,"Alcantara, Francis Casey",Philippines,PHL,ALC
sr:competitor:161220,"Pavel, Bogdan",Romania,ROU,PAV
sr:competitor:48225,"Dutra Da Silva, Daniel",Brazil,BRA,DUT
sr:competitor:154740,"Delaney, Jesse",Australia,AUS,DEL
sr:competitor:126622,Ruehl. Tim,Germany,DEU,RUE
sr:competitor:51304,"Stevenson, Kelsey",Canada,CAN,STE
sr:competitor:212004,"Rodionov, Jurij",Austria,AUT,ROD
sr:competitor:682913,"Rocha, Henrique",Portugal,PRT,ROC
sr:competitor:145122,"Martineau, Matteo",France,FRA,MAR
sr:competitor:498580,"Aboian, Valerio",Argentina,ARG,ABO
sr:competitor:412829,"Matsuda, Ryuki",Japan,JPN,MAT
sr:competitor:156664,"TE, Rigele",China,CHN,RIG
sr:competitor:450283,"Mpetshi Perricard, Giovanni",France,FRA,MPE
sr:competitor:686709,"Simakin, Ilia",Neutral,NULL,SIM
sr:competitor:145112,"Huesler, Marc-Andrea",Switzerland,CHE,HUE
sr:competitor:322589,"Pujol Navarro, Bruno",Spain,ESP,PUJ
sr:competitor:82133,"Dellien, Murkel",Bolivia,BOL,DEV
sr:competitor:614090,"Pieczonka, Filip",Poland,POL,PIE
sr:competitor:196672,"Davis, James",Great Britain,GBR,DAV
sr:competitor:49548,"Manafov, Vladyslav",Ukraine,UKR,MAN
sr:competitor:398360,"Urrea, Andres",Colombia,COL,URR
sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA,HER
sr:competitor:93597,"Pellegrino, Andrea",Italy,ITA,PEL
sr:competitor:645442,"Genov, Anthony",Bulgaria,BGR,GEN
sr:competitor:180104,"Reymond, Arthur",France,FRA,REY
sr:competitor:154490,"Pearson, Kody",Australia,AUS,PEA
sr:competitor:220588,"Hsu, Yu Hsiou",Chinese Taipei,TPE,HSU
sr:competitor:723013,"Pokorny, Lukas",Slovakia,SVK,POK
sr:competitor:130436,"Habib, Hady",Lebanon,LBN,HAB
sr:competitor:94485,"Bonzi, Benjamin",France,FRA,BON
sr:competitor:214824,"Aguilar, Juan Carlos",Canada,CAN,AGU
sr:competitor:731833,"Kielan, Szymon",Poland,POL,KIE
sr:competitor:167370,"Ruusuvuori, Emil",Finland,FIN,RUU
sr:competitor:104847,"Sonego, Lorenzo",Italy,ITA,SON
sr:competitor:774476,"Debru, Gabriel",France,FRA,DEB
sr:competitor:759900,"Lanik, Tomas",Slovakia,SVK,LAN
sr:competitor:217192,"Ouakaa, Aziz",Tunisia,TUN,OUA
sr:competitor:79227,"Sinclair, Colin",Northern Mariana Islands,MNP,SIN
sr:competitor:154570,"Orlov, Vladyslav",Ukraine,UKR,ORL
sr:competitor:452787,"Kumar, Pranav",USA,USA,KUM
sr:competitor:15931,"Brown, Dustin",Jamaica,JAM,BRO
sr:competitor:51141,"Carballes Baena, Roberto",Spain,ESP,CAR
sr:competitor:645452,"Nesterov, Pyotr",Bulgaria,BGR,NES
sr:competitor:103625,"Geerts, Michael",Belgium,BEL,GEE
sr:competitor:170964,"Bittoun Kouzmine, Constantin",France,FRA,BIT
sr:competitor:60614,"Poljak, David",Czechia,CZE,POL
sr:competitor:121248,"Roveri Sidney, Gabriel",Brazil,BRA,ROV
sr:competitor:226124,"Holmgren, August",Denmark,DNK,HOL
sr:competitor:682911,"Faria, Jaime",Portugal,PRT,FAR
sr:competitor:251091,"Noguchi, Rio",Japan,JPN,NOG
sr:competitor:240264,"Reis Da Silva, Joao Lucas",Brazil,BRA,REI
sr:competitor:505542,"Grevelius, Erik",Sweden,SWE,GRE
sr:competitor:767058,"Lobanov, Aleksandr",Neutral,NULL,LOB
sr:competitor:113905,"Moreno de Alboran, Nicolas",USA,USA,MAN
sr:competitor:437794,"Heinonen, Adam",Sweden,SWE,HEI
sr:competitor:603098,"Fery, Arthur",Great Britain,GBR,FER
sr:competitor:132558,"Kolar, Zdenek",Czechia,CZE,KOL
sr:competitor:163540,"Hermans, Mats",Netherlands,NLD,HER
sr:competitor:312436,"Hudd, Emile",Great Britain,GBR,HUD
sr:competitor:50360,"Margaroli, Luca",Switzerland,CHE,MAR
sr:competitor:52276,"Krueger, Mitchell",USA,USA,KRU
sr:competitor:67154,"Barrere, Gregoire",France,FRA,BAR
sr:competitor:124656,"Vukic, Aleksandar",Australia,AUS,VUK
sr:competitor:739643,"Loof, Thijmen",Netherlands,NLD,LOO
sr:competitor:686911,"Poljicak, Mili",Croatia,HRV,POL
sr:competitor:202735,"Carou, Ignacio",Uruguay,URY,CAR
sr:competitor:80665,"Polmans, Marc",Australia,AUS,POL
sr:competitor:655845,"Quinn, Ethan",USA,USA,QUI
sr:competitor:17046,"Statham, Rubin",New Zealand,NZL,STA
sr:competitor:458575,"Agostini, Simone",Italy,ITA,AGO
sr:competitor:124934,"Lomakin, Grigoriy",Kazakhstan,KAZ,LOM
sr:competitor:223788,"Stepanov, Roy",Israel,ISR,STE
sr:competitor:205767,"Cretu, Cezar (2001)",Romania,ROU,CRE
sr:competitor:387066,"Forejtek, Jonas",Czechia,CZE,FOR
sr:competitor:381022,"Wendelken, Harry",Great Britain,GBR,WEN
sr:competitor:452691,"Araujo, Pedro",Portugal,PRT,ARA
sr:competitor:681071,"Ganta, Sai Karteek Reddy",India,IND,GAN
sr:competitor:111609,"Barroso Campos, Alberto",Spain,ESP,BAR
sr:competitor:437734,"Shin, Woobin",Republic of Korea,KOR,SHI
sr:competitor:229024,"Zahraj, Patrick",Germany,DEU,ZAH
sr:competitor:118166,"Bakshi, Aleksandre",Georgia,GEO,BAK
sr:competitor:407791,"Mackinlay, James",Great Britain,GBR,MAC
sr:competitor:57703,"Pouille, Lucas",France,FRA,POU
sr:competitor:429603,"Rune, Holger",Denmark,DNK,RUN
sr:competitor:163504,"Medvedev, Daniil",Neutral,NULL,MED
sr:competitor:225050,"Sinner, Jannik",Italy,ITA,SIN
sr:competitor:193912,"Dev, S D Prajwal",India,IND,DEV
sr:competitor:286367,"Krutykh, Oleksii",Ukraine,UKR,KRU
sr:competitor:54903,"Karlovskiy, Evgeny",Neutral,NULL,KAR
sr:competitor:855911,"Hrazdil, Jan",Czechia,CZE,HRA
sr:competitor:90798,"Halys, Quentin",France,FRA,HAL
sr:competitor:207777,"Imamura, Masamichi",Japan,JPN,IMA
sr:competitor:679701,"Gueymard Wayenburg, Sascha",France,FRA,GUE
sr:competitor:280559,"Catini, Niccolo",Italy,ITA,CAT
sr:competitor:309954,"Droguet, Titouan",France,FRA,DRO
sr:competitor:750283,"Isomura, Kokoro",Japan,JPN,ISO
sr:competitor:244388,"Kalyanpur, Adil",India,IND,KAL
sr:competitor:16852,"Uzhylovskyi, Volodoymyr",Ukraine,UKR,UZV
sr:competitor:947875,"Zhou, Yi",China,CHN,ZHO
sr:competitor:215696,"Schell, Niklas",Germany,DEU,SCH
sr:competitor:385204,"Verbin, Pavel",Neutral,NULL,VER
sr:competitor:130442,"Rai, Ajeet",New Zealand,NZL,RAI
sr:competitor:43761,"Collarini, Andrea",Argentina,ARG,COL
sr:competitor:95939,"Whitehouse, Mark",Great Britain,GBR,WHI
sr:competitor:220590,"Huang, Tsung-Hao",Chinese Taipei,TPE,HUA
sr:competitor:378220,"Huertas Del Pino Cordova, Arklon",Peru,PER,HUE
sr:competitor:116616,"Clarke, Jay",Great Britain,GBR,CLA
sr:competitor:564952,"Kusuhara, Yusuke",Japan,JPN,KUS
sr:competitor:497320,"Visker, Niels",Netherlands,NLD,VIS
sr:competitor:138712,"Oradini, Giovanni",Italy,ITA,ORA
sr:competitor:298118,"Summers, Matthew",Great Britain,GBR,SUM
sr:competitor:973963,"Watt, James",New Zealand,NZL,WAT
sr:competitor:263857,"De Krom, Michiel",Netherlands,NLD,DE
sr:competitor:976405,"Taguchi, Ryotaro",Japan,JPN,TAG
sr:competitor:51100,"Roca Batalla, Oriol",Spain,ESP,ROC
sr:competitor:215492,"Cui, Jie",China,CHN,CUI
sr:competitor:620338,"Sharipov, Marat",Neutral,NULL,SHA
sr:competitor:785974,"La Serna, Juan Manuel",Argentina,ARG,LA
sr:competitor:22962,"Jebavy, Roman",Czechia,CZE,JEB
sr:competitor:240876,"Crawford, Oliver",Great Britain,GBR,CRA
sr:competitor:182086,"Bass, Finn",Great Britain,GBR,BAS
sr:competitor:57021,"Kovalik, Jozef",Slovakia,SVK,KOV
sr:competitor:644676,"Milev, Yanaki",Bulgaria,BGR,MIL
sr:competitor:208123,"Maginley, Jody",Antigua and Barbuda,ATG,MAG
sr:competitor:763108,"Mensik, Jakub",Czechia,CZE,MEN
sr:competitor:339377,"Lehecka, Jiri",Czechia,CZE,LEH
sr:competitor:294300,"Nakashima, Brandon",USA,USA,NAK
sr:competitor:185388,"Humbert, Ugo",France,FRA,HUM
sr:competitor:194668,"Wenger, Damien",Switzerland,CHE,WEN
sr:competitor:287543,"Hulme, Matt",Australia,AUS,HUL
sr:competitor:565070,"Monday, Johannus",Great Britain,GBR,MON
sr:competitor:205773,"Sanchez Jover, Carlos",Spain,ESP,SAN
sr:competitor:210502,"Kopp, Sandro",Austria,AUT,KOP
sr:competitor:272245,"Latinovic, Stefan",Serbia,SRB,LAT
sr:competitor:49172,"Dzumhur, Damir",Bosnia & Herzegovina,BIH,DZU
sr:competitor:515510,"Heide, Gustavo",Brazil,BRA,HEI
sr:competitor:65606,"Agamenone, Franco",Italy,ITA,AGA
sr:competitor:138528,"Mejia, Nicolas",Colombia,COL,MEJ
sr:competitor:359608,"Maestrelli, Francesco",Italy,ITA,MAE
sr:competitor:16781,"Sharan, Divij",India,IND,SHA
sr:competitor:321667,"Mayot, Harold",France,FRA,MAY
sr:competitor:50901,"Popko, Dmitry",Kazakhstan,KAZ,POP
sr:competitor:439474,"Jermar, Jan",Czechia,CZE,JER
sr:competitor:873679,"Bondioli, Federico",Italy,ITA,BON
sr:competitor:156826,"van Wyk, Kris",South Africa,ZAF,VAN
sr:competitor:405969,"Paulson, Andrew",Czechia,CZE,PAU
sr:competitor:833418,"Del Pino, Mateo",Argentina,ARG,DEL
sr:competitor:121668,"Meligeni Alves, Felipe",Brazil,BRA,MEL
sr:competitor:435758,"Vanshelboim, Eric",Ukraine,UKR,VAN
sr:competitor:215778,"Izquierdo Luque, Rafael",Spain,ESP,IZQ
